Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CarbonAndroidApp,,,,2021-11-01 15:54:18,2021-11-01 15:55:47,1m - 29.733s,FAILED
,,,,,,,
Test Cases/AirtimePurchace,,,,2021-11-01 15:54:19,2021-11-01 15:55:47,1m - 28.170s,FAILED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-01 15:54:20,2021-11-01 15:54:54,33.824s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-01 15:54:54,2021-11-01 15:54:57,3.046s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In (1)""), 0)",,,,2021-11-01 15:54:57,2021-11-01 15:55:05,8.270s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number (1)""), ""08990001100"", 0)",,,,2021-11-01 15:55:05,2021-11-01 15:55:08,2.846s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), 0)",,,,2021-11-01 15:55:08,2021-11-01 15:55:09,0.864s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (2)""), ""1234"", 0)",,,,2021-11-01 15:55:09,2021-11-01 15:55:12,3.570s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (2)""), 0)",,,,2021-11-01 15:55:12,2021-11-01 15:55:14,1.292s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - e.g 08031234567""), ""08990001101"", 0)",,,,2021-11-01 15:55:14,2021-11-01 15:55:47,33.614s,FAILED
