Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CarbonAndroidApp,,,,2021-11-01 15:46:18,2021-11-01 15:47:56,1m - 37.795s,FAILED
,,,,,,,
Test Cases/AirtimePurchace,,,,2021-11-01 15:46:19,2021-11-01 15:47:56,1m - 36.328s,FAILED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-01 15:46:20,2021-11-01 15:46:51,30.764s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In (1)""), 0)",,,,2021-11-01 15:46:51,2021-11-01 15:47:15,24.074s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number (1)""), ""08990001100"", 0)",,,,2021-11-01 15:47:15,2021-11-01 15:47:18,2.707s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), 0)",,,,2021-11-01 15:47:18,2021-11-01 15:47:19,1.734s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (2)""), ""1234"", 0)",,,,2021-11-01 15:47:19,2021-11-01 15:47:22,2.688s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (2)""), 0)",,,,2021-11-01 15:47:22,2021-11-01 15:47:23,1.318s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - e.g 08031234567""), ""08990001101"", 0)",,,,2021-11-01 15:47:23,2021-11-01 15:47:56,32.122s,FAILED
