Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CarbonAndroidApp,,,,2021-11-01 20:20:01,2021-11-01 20:21:51,1m - 50.117s,FAILED
,,,,,,,
Test Cases/AirtimePurchace,,,,2021-11-01 20:20:03,2021-11-01 20:21:51,1m - 48.629s,FAILED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-01 20:20:04,2021-11-01 20:20:56,52.931s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-01 20:20:56,2021-11-01 20:21:00,3.953s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In (1)""), 0)",,,,2021-11-01 20:21:00,2021-11-01 20:21:10,9.846s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number (1)""), ""08990001100"", 0)",,,,2021-11-01 20:21:10,2021-11-01 20:21:13,2.578s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), 0)",,,,2021-11-01 20:21:13,2021-11-01 20:21:14,0.807s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (2)""), ""1234"", 0)",,,,2021-11-01 20:21:14,2021-11-01 20:21:16,2.500s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (2)""), 0)",,,,2021-11-01 20:21:16,2021-11-01 20:21:18,1.831s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - e.g 08031234567""), ""08990001101"", 0)",,,,2021-11-01 20:21:18,2021-11-01 20:21:51,33.427s,FAILED
