Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CarbonAndroidApp,,,,2021-11-02 14:01:33,2021-11-02 14:07:05,5m - 32.129s,FAILED
,,,,,,,
Test Cases/signin,,,,2021-11-02 14:01:35,2021-11-02 14:02:27,51.720s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 14:01:36,2021-11-02 14:02:07,31.395s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-02 14:02:07,2021-11-02 14:02:10,3.020s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-02 14:02:10,2021-11-02 14:02:19,8.942s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-02 14:02:19,2021-11-02 14:02:22,2.724s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-02 14:02:22,2021-11-02 14:02:23,0.854s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-02 14:02:23,2021-11-02 14:02:26,2.876s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-02 14:02:26,2021-11-02 14:02:27,0.967s,PASSED
,,,,,,,
Test Cases/airtimeRechareg,,,,2021-11-02 14:02:27,2021-11-02 14:03:59,1m - 32.423s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 14:02:27,2021-11-02 14:02:54,26.534s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-02 14:02:54,2021-11-02 14:02:58,3.947s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-02 14:02:58,2021-11-02 14:03:16,18.225s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-02 14:03:16,2021-11-02 14:03:19,2.369s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-02 14:03:19,2021-11-02 14:03:19,0.925s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-02 14:03:19,2021-11-02 14:03:22,2.823s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-02 14:03:22,2021-11-02 14:03:23,0.909s,PASSED
pressBack(),,,,2021-11-02 14:03:23,2021-11-02 14:03:25,1.376s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView""), 0)",,,,2021-11-02 14:03:25,2021-11-02 14:03:40,15.005s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - e.g 08031234567""), ""08990001100"", 0)",,,,2021-11-02 14:03:40,2021-11-02 14:03:47,7.574s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - 1000""), 0)",,,,2021-11-02 14:03:47,2021-11-02 14:03:50,3.209s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (1)""), 0)",,,,2021-11-02 14:03:50,2021-11-02 14:03:52,1.527s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Next""), 0)",,,,2021-11-02 14:03:52,2021-11-02 14:03:53,0.774s,PASSED
"tap(findTestObject(""Object Repository/android.widget.RadioButton (1)""), 0)",,,,2021-11-02 14:03:53,2021-11-02 14:03:57,3.942s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Confirm payment""), 0)",,,,2021-11-02 14:03:57,2021-11-02 14:03:58,1.201s,PASSED
