Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CarbonAndroidApp,,,,2021-11-02 14:17:35,2021-11-02 14:21:54,4m - 18.643s,FAILED
,,,,,,,
Test Cases/signin,,,,2021-11-02 14:17:37,2021-11-02 14:18:27,49.489s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 14:17:38,2021-11-02 14:18:08,29.861s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-02 14:18:08,2021-11-02 14:18:11,3.179s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-02 14:18:11,2021-11-02 14:18:20,8.306s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-02 14:18:20,2021-11-02 14:18:22,2.418s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-02 14:18:22,2021-11-02 14:18:23,0.876s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-02 14:18:23,2021-11-02 14:18:26,2.888s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-02 14:18:26,2021-11-02 14:18:27,0.986s,PASSED
,,,,,,,
Test Cases/airtimeRechareg,,,,2021-11-02 14:18:27,2021-11-02 14:19:43,1m - 16.104s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 14:18:28,2021-11-02 14:18:54,26.935s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-02 14:18:54,2021-11-02 14:18:58,3.397s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-02 14:18:58,2021-11-02 14:19:07,8.960s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-02 14:19:07,2021-11-02 14:19:10,2.697s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-02 14:19:10,2021-11-02 14:19:10,0.885s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-02 14:19:10,2021-11-02 14:19:13,2.821s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-02 14:19:13,2021-11-02 14:19:14,0.939s,PASSED
pressBack(),,,,2021-11-02 14:19:14,2021-11-02 14:19:16,1.377s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView""), 0)",,,,2021-11-02 14:19:16,2021-11-02 14:19:24,8.014s,PASSED
