Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CarbonAndroidApp,,,,2021-11-01 21:24:25,2021-11-01 21:25:51,1m - 25.444s,PASSED
,,,,,,,
Test Cases/airtimeRechareg,,,,2021-11-01 21:24:27,2021-11-01 21:25:51,1m - 23.981s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-01 21:24:27,2021-11-01 21:24:56,28.538s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-01 21:24:56,2021-11-01 21:25:00,4.355s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-01 21:25:00,2021-11-01 21:25:08,7.567s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-01 21:25:08,2021-11-01 21:25:10,2.310s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-01 21:25:10,2021-11-01 21:25:12,1.603s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-01 21:25:12,2021-11-01 21:25:14,2.604s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-01 21:25:14,2021-11-01 21:25:15,0.930s,PASSED
pressBack(),,,,2021-11-01 21:25:15,2021-11-01 21:25:16,0.967s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView""), 0)",,,,2021-11-01 21:25:16,2021-11-01 21:25:26,9.305s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - e.g 08031234567""), ""08990001100"", 0)",,,,2021-11-01 21:25:26,2021-11-01 21:25:36,9.943s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - 1000""), 0)",,,,2021-11-01 21:25:36,2021-11-01 21:25:38,2.865s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (1)""), 0)",,,,2021-11-01 21:25:38,2021-11-01 21:25:40,1.549s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Next""), 0)",,,,2021-11-01 21:25:40,2021-11-01 21:25:41,0.739s,PASSED
"tap(findTestObject(""Object Repository/android.widget.RadioButton (1)""), 0)",,,,2021-11-01 21:25:41,2021-11-01 21:25:45,3.982s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Confirm payment""), 0)",,,,2021-11-01 21:25:45,2021-11-01 21:25:46,0.855s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Securely pay  1,010.00""), 0)",,,,2021-11-01 21:25:46,2021-11-01 21:25:48,2.237s,PASSED
closeApplication(),,,,2021-11-01 21:25:48,2021-11-01 21:25:51,2.865s,PASSED
