Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CarbonAndroidApp,,,,2021-11-02 14:13:12,2021-11-02 14:17:03,3m - 51.204s,FAILED
,,,,,,,
Test Cases/signin,,,,2021-11-02 14:13:14,2021-11-02 14:14:05,50.991s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 14:13:15,2021-11-02 14:13:45,29.602s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-02 14:13:45,2021-11-02 14:13:49,3.587s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-02 14:13:49,2021-11-02 14:13:58,9.338s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-02 14:13:58,2021-11-02 14:14:00,1.688s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-02 14:14:00,2021-11-02 14:14:01,1.778s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-02 14:14:01,2021-11-02 14:14:04,2.711s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-02 14:14:04,2021-11-02 14:14:05,0.958s,PASSED
,,,,,,,
Test Cases/airtimeRechareg,,,,2021-11-02 14:14:05,2021-11-02 14:15:20,1m - 15.017s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 14:14:06,2021-11-02 14:14:33,27.437s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-02 14:14:33,2021-11-02 14:14:37,3.534s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-02 14:14:37,2021-11-02 14:14:45,8.512s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-02 14:14:45,2021-11-02 14:14:48,2.095s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-02 14:14:48,2021-11-02 14:14:49,1.333s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-02 14:14:49,2021-11-02 14:14:52,2.609s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-02 14:14:52,2021-11-02 14:14:52,0.904s,PASSED
pressBack(),,,,2021-11-02 14:14:52,2021-11-02 14:14:53,1.023s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView""), 0)",,,,2021-11-02 14:14:53,2021-11-02 14:15:02,8.876s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - e.g 08031234567""), ""08990001100"", 0)",,,,2021-11-02 14:15:02,2021-11-02 14:15:09,6.537s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - 1000""), 0)",,,,2021-11-02 14:15:09,2021-11-02 14:15:11,2.392s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (1)""), 0)",,,,2021-11-02 14:15:11,2021-11-02 14:15:13,1.521s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Next""), 0)",,,,2021-11-02 14:15:13,2021-11-02 14:15:13,0.717s,PASSED
"tap(findTestObject(""Object Repository/android.widget.RadioButton (1)""), 0)",,,,2021-11-02 14:15:13,2021-11-02 14:15:18,4.093s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Confirm payment""), 0)",,,,2021-11-02 14:15:18,2021-11-02 14:15:19,1.230s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Securely pay  1,010.00""), 0)",,,,2021-11-02 14:15:19,2021-11-02 14:15:20,1.387s,PASSED
,,,,,,,
Test Cases/fundWallet,,,,2021-11-02 14:15:20,2021-11-02 14:16:04,44.284s,FAILED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 14:15:21,2021-11-02 14:16:04,43.426s,FAILED
,,,,,,,
Test Cases/transactionfilter,,,,2021-11-02 14:16:05,2021-11-02 14:17:03,58.964s,FAILED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 14:16:05,2021-11-02 14:16:31,25.330s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip (4)""), 0)",,,,2021-11-02 14:16:31,2021-11-02 14:16:34,3.749s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In (8)""), 0)",,,,2021-11-02 14:16:34,2021-11-02 14:16:43,9.021s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number (4)""), ""08990001100"", 0)",,,,2021-11-02 14:16:43,2021-11-02 14:16:46,2.694s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (8)""), 0)",,,,2021-11-02 14:16:46,2021-11-02 14:16:47,0.891s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (9)""), ""1234"", 0)",,,,2021-11-02 14:16:47,2021-11-02 14:16:50,2.957s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (9)""), 0)",,,,2021-11-02 14:16:50,2021-11-02 14:16:52,2.109s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Transactions""), 0)",,,,2021-11-02 14:16:52,2021-11-02 14:17:03,11.373s,FAILED
