Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CarbonAndroidApp,,,,2021-11-01 23:51:02,2021-11-01 23:54:44,3m - 42.752s,PASSED
,,,,,,,
Test Cases/signin,,,,2021-11-01 23:51:03,2021-11-01 23:51:52,48.845s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-01 23:51:04,2021-11-01 23:51:33,29.036s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-01 23:51:33,2021-11-01 23:51:36,2.989s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-01 23:51:36,2021-11-01 23:51:45,8.767s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-01 23:51:45,2021-11-01 23:51:47,2.504s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-01 23:51:47,2021-11-01 23:51:48,0.869s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-01 23:51:48,2021-11-01 23:51:51,2.899s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-01 23:51:51,2021-11-01 23:51:52,0.962s,PASSED
,,,,,,,
Test Cases/airtimeRechareg,,,,2021-11-01 23:51:52,2021-11-01 23:53:27,1m - 34.519s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-01 23:51:53,2021-11-01 23:52:20,27.257s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-01 23:52:20,2021-11-01 23:52:24,3.690s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-01 23:52:24,2021-11-01 23:52:33,9.049s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-01 23:52:33,2021-11-01 23:52:34,1.675s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-01 23:52:34,2021-11-01 23:52:36,1.267s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-01 23:52:36,2021-11-01 23:52:38,2.576s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-01 23:52:38,2021-11-01 23:52:39,0.958s,PASSED
pressBack(),,,,2021-11-01 23:52:39,2021-11-01 23:52:40,0.984s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView""), 0)",,,,2021-11-01 23:52:40,2021-11-01 23:53:03,23.007s,PASSED
