Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CarbonAndroidApp,,,,2021-11-02 14:12:32,2021-11-02 14:12:39,6.546s,FAILED
,,,,,,,
Test Cases/signin,,,,2021-11-02 14:12:35,2021-11-02 14:12:36,1.660s,FAILED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 14:12:36,2021-11-02 14:12:36,0.546s,FAILED
,,,,,,,
Test Cases/airtimeRechareg,,,,2021-11-02 14:12:36,2021-11-02 14:12:37,1.123s,FAILED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 14:12:37,2021-11-02 14:12:37,0.026s,FAILED
,,,,,,,
Test Cases/fundWallet,,,,2021-11-02 14:12:37,2021-11-02 14:12:38,0.775s,FAILED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 14:12:38,2021-11-02 14:12:38,0.017s,FAILED
,,,,,,,
Test Cases/transactionfilter,,,,2021-11-02 14:12:38,2021-11-02 14:12:39,0.705s,FAILED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 14:12:39,2021-11-02 14:12:39,0.010s,FAILED
