Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CarbonAndroidApp,,,,2021-11-01 23:47:06,2021-11-01 23:49:57,2m - 50.839s,FAILED
,,,,,,,
Test Cases/signin,,,,2021-11-01 23:47:08,2021-11-01 23:47:58,50.281s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-01 23:47:09,2021-11-01 23:47:39,30.432s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-01 23:47:39,2021-11-01 23:47:42,2.997s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-01 23:47:42,2021-11-01 23:47:51,8.792s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-01 23:47:51,2021-11-01 23:47:53,2.575s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-01 23:47:53,2021-11-01 23:47:54,0.872s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-01 23:47:54,2021-11-01 23:47:57,2.801s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-01 23:47:57,2021-11-01 23:47:58,0.960s,PASSED
,,,,,,,
Test Cases/airtimeRechareg,,,,2021-11-01 23:47:58,2021-11-01 23:49:19,1m - 21.123s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-01 23:47:59,2021-11-01 23:48:26,26.894s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-01 23:48:26,2021-11-01 23:48:30,4.016s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-01 23:48:30,2021-11-01 23:48:39,9.010s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-01 23:48:39,2021-11-01 23:48:41,2.767s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-01 23:48:41,2021-11-01 23:48:42,0.931s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-01 23:48:42,2021-11-01 23:48:45,2.746s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-01 23:48:45,2021-11-01 23:48:46,1.004s,PASSED
pressBack(),,,,2021-11-01 23:48:46,2021-11-01 23:48:47,1.331s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView""), 0)",,,,2021-11-01 23:48:47,2021-11-01 23:48:56,9.073s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - e.g 08031234567""), ""08990001100"", 0)",,,,2021-11-01 23:48:56,2021-11-01 23:49:07,10.938s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - 1000""), 0)",,,,2021-11-01 23:49:07,2021-11-01 23:49:10,2.686s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (1)""), 0)",,,,2021-11-01 23:49:10,2021-11-01 23:49:12,1.530s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Next""), 0)",,,,2021-11-01 23:49:12,2021-11-01 23:49:12,0.888s,PASSED
"tap(findTestObject(""Object Repository/android.widget.RadioButton (1)""), 0)",,,,2021-11-01 23:49:12,2021-11-01 23:49:17,4.143s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Confirm payment""), 0)",,,,2021-11-01 23:49:17,2021-11-01 23:49:18,1.044s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Securely pay  1,010.00""), 0)",,,,2021-11-01 23:49:18,2021-11-01 23:49:19,1.479s,PASSED
,,,,,,,
Test Cases/fundWallet,,,,2021-11-01 23:49:19,2021-11-01 23:49:57,37.738s,FAILED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-01 23:49:20,2021-11-01 23:49:47,27.021s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip (3)""), 0)",,,,2021-11-01 23:49:47,2021-11-01 23:49:51,3.935s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In (6)""), 0)",,,,2021-11-01 23:49:51,2021-11-01 23:49:57,6.165s,FAILED
