Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CarbonAndroidApp,,,,2021-11-01 21:53:43,2021-11-01 21:56:02,2m - 18.449s,PASSED
,,,,,,,
Test Cases/signin,,,,2021-11-01 21:53:45,2021-11-01 21:54:39,54.310s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-01 21:53:46,2021-11-01 21:54:19,33.432s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-01 21:54:19,2021-11-01 21:54:23,3.502s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-01 21:54:23,2021-11-01 21:54:32,8.748s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-01 21:54:32,2021-11-01 21:54:34,2.751s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-01 21:54:34,2021-11-01 21:54:36,1.215s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-01 21:54:36,2021-11-01 21:54:38,2.690s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-01 21:54:38,2021-11-01 21:54:39,0.956s,PASSED
,,,,,,,
Test Cases/airtimeRechareg,,,,2021-11-01 21:54:39,2021-11-01 21:56:02,1m - 22.467s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-01 21:54:40,2021-11-01 21:55:08,28.528s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-01 21:55:08,2021-11-01 21:55:12,3.580s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-01 21:55:12,2021-11-01 21:55:20,8.357s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-01 21:55:20,2021-11-01 21:55:23,2.664s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-01 21:55:23,2021-11-01 21:55:24,1.042s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-01 21:55:24,2021-11-01 21:55:27,2.941s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-01 21:55:27,2021-11-01 21:55:29,1.807s,PASSED
pressBack(),,,,2021-11-01 21:55:29,2021-11-01 21:55:30,1.198s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView""), 0)",,,,2021-11-01 21:55:30,2021-11-01 21:55:39,9.124s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - e.g 08031234567""), ""08990001100"", 0)",,,,2021-11-01 21:55:39,2021-11-01 21:55:47,7.899s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - 1000""), 0)",,,,2021-11-01 21:55:47,2021-11-01 21:55:49,2.418s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (1)""), 0)",,,,2021-11-01 21:55:49,2021-11-01 21:55:51,1.670s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Next""), 0)",,,,2021-11-01 21:55:51,2021-11-01 21:55:53,1.575s,PASSED
"tap(findTestObject(""Object Repository/android.widget.RadioButton (1)""), 0)",,,,2021-11-01 21:55:53,2021-11-01 21:55:56,3.112s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Confirm payment""), 0)",,,,2021-11-01 21:55:56,2021-11-01 21:55:57,0.845s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Securely pay  1,010.00""), 0)",,,,2021-11-01 21:55:57,2021-11-01 21:55:59,1.938s,PASSED
closeApplication(),,,,2021-11-01 21:55:59,2021-11-01 21:56:02,3.167s,PASSED
